pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at,project_canon
588e26a0-057a-455d-8bc4-c47e454d9260,Katana,morpho-v1,YVVBUSDT,,88789,,,True,2025-12-14T21:56:31.158038,morpho-v1
04b89e37-f46b-486f-9357-8a013980fa4b,Hyperliquid,morpho-v1,HBUSDT,,79972,,,True,2025-12-14T21:56:31.158038,morpho-v1
418abd4f-d519-40d6-af16-403ad1d78cb7,Base,morpho-v1,STEAKXSGD,,78206,1.02337,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
0dfc66d9-74eb-41be-a9d1-1d73f452934f,Base,morpho-v1,STEAKXSGD,,78205,0.94978,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
b16ef7ec-4879-4862-93d2-195201b8958d,Unichain,euler-v2,USD₮0,EVK Vault eUSD₮0-1,78178,4.68585,,True,2025-12-14T21:56:31.158038,euler-v2
1a4d98a0-6c4e-4dc3-b3b5-879d08a2f41e,Arbitrum,fluid-lending,WSTUSR,,76412,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
c567aaac-404f-48a1-93f1-c3c0c10c2645,Base,fluid-dex,YOUSD-USDC,,63284,0.01623,,True,2025-12-14T21:56:31.158038,fluid-dex
489a04bb-7b50-44d8-a6f7-1faea1bd85b4,Arbitrum,fluid-dex,USDE-GHO,,62246,0.67404,,True,2025-12-14T21:56:31.158038,fluid-dex
d2189156-1e68-40dd-b76c-4224c74f3d21,Hyperliquid,morpho-v1,HBUSDT,,55044,,,True,2025-12-14T21:56:31.158038,morpho-v1
dd9c7c82-1e07-4f02-a5e9-1f20ae8e8f48,Unichain,morpho-v1,RE7USDT0,,53242,0.01281,5.19586,True,2025-12-14T21:56:31.158038,morpho-v1
4bc192a6-9546-4bf9-b1fe-0ef81b5e8849,Base,morpho-v1,APRUSDC,,52323,5.74099,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
d20373db-3ba5-4ed3-8984-109a8c84f6ee,Berachain,euler-v2,USDC.E,EVK Vault eUSDC.e-1,48727,0.24421,,True,2025-12-14T21:56:31.158038,euler-v2
5f3c00c6-363e-4cb6-80de-8ea3cc34ffe3,Arbitrum,morpho-v1,WSTUSR,,46677,,,True,2025-12-14T21:56:31.158038,morpho-v1
6c682632-a083-4af4-9d88-ab8f36b8864b,Arbitrum,euler-v2,USD₮0,EVK Vault eUSD₮0-1,43511,1.21501,,True,2025-12-14T21:56:31.158038,euler-v2
7e930fdf-5a52-4982-9ce3-0323fede4918,Base,morpho-v1,USDC,,43489,,,True,2025-12-14T21:56:31.158038,morpho-v1
7b536d29-adf2-4752-bb66-002afc1ffff8,Base,morpho-v1,STEAKUSDC,,41102,,,True,2025-12-14T21:56:31.158038,morpho-v1
a441b7f8-0c44-41ed-82d4-a1d87856c166,Polygon,fluid-dex,USDC-USDC,,36029,0.46944,,True,2025-12-14T21:56:31.158038,fluid-dex
76f65ec2-ea3d-42a2-9f9f-1542b48838e9,Base,euler-v2,USDC,EVK Vault eUSDC-29,33366,5.31732,,True,2025-12-14T21:56:31.158038,euler-v2
e101d8be-e718-4c00-bb5c-93e79608dd5d,Berachain,euler-v2,NECT,EVK Vault eNECT-2,33046,1.02288,,True,2025-12-14T21:56:31.158038,euler-v2
f078c20b-26fb-44b3-a22c-4889e87d72f8,Arbitrum,euler-v2,USD₮0,EVK Vault eUSD₮0-2,32067,0.73541,,True,2025-12-14T21:56:31.158038,euler-v2
8d28943c-5a6e-4206-89fd-06024bc029c0,Arbitrum,morpho-v1,SUSDE,,30510,,,True,2025-12-14T21:56:31.158038,morpho-v1
0e742d06-d258-4545-a091-8e6e6c276cca,Base,morpho-v1,UNIVERSALUSDC,,30395,3.09011,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
9653b4d9-8e11-4343-ac91-a8d19109fe1b,Berachain,euler-v2,USDC.E,EVK Vault eUSDC.e-3,29519,3.76499,,True,2025-12-14T21:56:31.158038,euler-v2
8a59bccb-5a9e-496f-9414-f45e80772e4e,Base,morpho-v1,BSDETH,,29099,,,True,2025-12-14T21:56:31.158038,morpho-v1
ba807c37-d6f4-493f-837e-f9454b76d1b4,Base,morpho-v1,STEAKEURA,,28685,10.41842,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
6613a161-067c-4762-83dd-359be37b276f,Unichain,euler-v2,USDC,EVK Vault eUSDC-1,26758,6.0887,,True,2025-12-14T21:56:31.158038,euler-v2
21a5df54-c0eb-4868-baa6-e33340d0ee3f,Base,euler-v2,USR,EVK Vault eUSR-2,23667,0.36718,,True,2025-12-14T21:56:31.158038,euler-v2
7d4dfd89-eca9-434f-b651-0999f71cdb25,Berachain,euler-v2,USDC.E,EVK Vault eUSDC.e-2,18707,0.01928,,True,2025-12-14T21:56:31.158038,euler-v2
4bdf14cb-4872-4cc9-898b-b1f5dd57533a,Base,morpho-v1,MDEGEN,,16814,0.00021,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
05a43e18-fb0d-4a0f-b04d-9ba2e32b3efd,Arbitrum,fluid-lending,SUSDE,,16619,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
59e9979a-6dc9-4c58-8a82-7803635ae460,Hyperliquid,morpho-v1,HBUSDT,,15044,,,True,2025-12-14T21:56:31.158038,morpho-v1
35e786e4-8383-45d4-9194-3c625b603016,Base,morpho-v1,IONICUSDC,,13228,5.39995,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
ad55910c-df9a-4654-adcf-62c54d2bab48,Base,morpho-v1,USR,,12532,,,True,2025-12-14T21:56:31.158038,morpho-v1
9b4a4f15-202d-4c4c-acda-a09249c2cd2a,Base,euler-v2,USDS,EVK Vault eUSDS-1,11707,3.72797,,True,2025-12-14T21:56:31.158038,euler-v2
d5033f1e-bec5-4f3a-a3c5-3233bdf93981,Base,morpho-v1,GTSUSDSC,,11041,0.86696,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
df7516cd-a3c9-4ea6-9e78-da0df3e2b97b,Base,morpho-v1,CUSDO,,10082,,,True,2025-12-14T21:56:31.158038,morpho-v1
